date,kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g
2024-02-07,2427.65,209.62,130.71,114.06,14.97,25.19
2024-02-08,2291.66,226.01,154.67,80.31,15.18,20.34
2024-02-09,2311.8,182.57,125.18,111.62,13.24,24.58
2024-02-10,1593.95,146.02,149.0,42.55,8.74,14.39
2024-02-11,800.7,100.29,62.04,16.69,2.02,25.3
2024-02-12,1355.6,100.7,80.29,67.6,11.87,40.52
2024-02-13,1809.94,110.23,186.53,68.13,6.56,56.46
2024-02-14,2410.42,146.5,128.14,152.18,5.89,47.33
2024-02-15,2005.05,158.42,137.85,88.01,2.92,54.05
2024-02-16,1033.99,86.03,95.85,31.59,10.47,21.26
2024-02-17,2522.74,180.81,245.44,88.28,16.8,56.73
2024-02-18,1638.87,113.41,129.69,71.12,16.83,39.53
2024-02-19,1331.39,83.52,178.02,32.72,18.26,66.29
2024-02-20,1814.85,84.37,176.35,87.08,14.59,40.71
2024-02-21,1786.94,131.18,73.9,106.12,2.87,6.33
2024-02-22,1665.46,105.51,147.66,70.29,11.61,49.42
2024-02-23,1970.63,122.89,229.89,56.14,11.27,34.12
2024-02-24,1966.05,140.01,166.31,84.41,8.93,54.5
2024-02-25,1628.75,108.27,100.98,84.94,9.81,34.46
2024-02-26,1843.13,128.87,156.71,76.89,15.85,13.07
2024-02-27,2271.63,137.74,135.17,130.54,8.08,27.87
2024-02-28,2515.9,149.76,147.8,146.89,0.0,30.3
2024-02-29,2652.65,174.53,275.86,91.44,12.47,34.23
2024-03-01,2182.45,162.44,243.39,60.59,16.93,21.83
2024-03-02,2096.1,129.61,209.64,77.6,16.63,40.38
2024-03-03,1810.37,147.94,146.95,67.54,17.34,32.08
2024-03-04,1909.68,143.68,92.86,106.41,14.53,20.67
2024-03-05,2284.7,169.5,216.34,77.28,16.32,22.92
2024-03-06,2273.48,197.7,120.64,108.96,22.53,33.21
2024-03-07,2589.3,182.96,199.78,111.95,13.57,29.69
2024-03-08,1841.54,159.73,131.01,71.64,19.11,20.27
2024-03-09,1609.95,178.32,118.3,45.85,12.7,19.85
2024-03-10,2455.25,153.51,132.12,143.11,20.68,44.84
2024-03-11,2896.6,214.41,258.04,108.16,13.31,64.37
2024-03-12,2026.06,190.29,149.81,75.02,7.85,59.27
2024-03-13,3002.4,216.87,288.01,98.92,31.29,40.61
2024-03-14,2549.97,181.3,164.37,125.27,18.27,25.49
2024-03-15,3215.8,256.73,196.74,148.2,17.97,41.1
2024-03-16,2689.8,168.53,292.45,85.73,26.24,52.44
2024-03-17,2787.57,200.11,70.64,187.91,17.6,45.06
2024-03-18,2280.88,177.33,132.44,111.21,20.92,23.75
2024-03-19,1784.85,167.57,167.18,40.73,10.43,17.43
2024-03-20,2762.66,183.81,268.91,94.33,39.73,77.05
2024-03-21,3147.75,233.72,275.27,108.52,27.67,75.53
2024-03-22,3557.76,232.3,274.34,163.14,41.01,49.12
2024-03-23,3772.56,269.52,307.23,148.89,40.63,117.93
2024-03-24,2462.75,166.2,220.21,95.83,21.23,53.84
2024-03-25,2196.55,160.39,172.29,89.96,13.07,45.2
2024-03-26,2182.33,162.29,169.2,80.2,21.41,13.75
2024-03-27,3335.2,261.07,265.46,129.46,11.98,36.61
2024-03-28,2029.74,137.9,206.73,65.2,23.67,39.85
2024-03-29,2749.44,179.81,250.03,100.85,28.3,98.53
2024-03-30,1536.99,185.81,84.94,47.02,12.95,18.36
2024-03-31,2891.32,217.92,224.94,118.22,29.63,42.83
2024-04-01,2202.88,176.23,138.97,103.17,17.66,26.9
2024-04-02,3551.21,265.54,282.94,142.47,24.07,46.15
2024-04-03,2574.85,161.73,244.99,100.35,31.51,45.27
2024-04-04,2574.54,169.4,205.17,111.11,29.14,10.29
2024-04-05,1662.41,143.83,63.62,88.99,8.75,16.21
2024-04-06,3043.05,188.06,264.34,124.89,25.23,98.56
2024-04-07,2173.9,170.72,163.35,94.8,5.96,30.41
2024-04-08,2869.25,171.48,234.92,137.41,20.39,45.63
2024-04-09,3258.0,390.82,74.64,146.59,0.06,23.27
2024-04-10,3454.3,171.11,307.3,169.29,41.17,79.33
2024-04-11,2648.86,168.42,216.13,115.56,28.14,44.93
2024-04-12,2616.81,192.57,197.05,105.59,26.44,67.11
2024-04-13,886.56,62.41,22.24,55.36,26.18,7.28
2024-04-14,2249.54,159.75,66.37,141.26,30.72,27.9
2024-04-15,3278.25,338.38,141.85,141.41,9.0,51.79
2024-04-16,2402.28,175.75,171.93,109.89,23.37,46.07
2024-04-17,3288.43,210.6,95.24,225.87,23.78,57.1
2024-04-18,3047.12,178.67,225.12,154.98,17.23,38.58
2024-04-19,3148.73,273.77,195.38,133.74,20.25,77.61
2024-04-20,2841.4,224.69,222.81,109.96,20.38,86.85
2024-04-21,2930.62,188.22,232.39,130.46,26.14,49.23
2024-04-22,2389.65,179.83,161.58,103.12,11.76,25.18
2024-04-23,2519.3,172.58,181.35,108.45,15.27,30.73
2024-04-24,2663.72,178.24,103.82,161.87,34.98,36.3
2024-04-25,2769.97,176.5,168.29,144.31,34.7,76.18
2024-04-26,2653.15,180.82,283.27,81.65,27.84,46.96
2024-04-27,2942.96,195.55,271.7,116.82,22.75,33.41
2024-04-28,2347.45,178.31,176.01,103.67,7.82,29.49
2024-04-29,2952.74,212.34,140.15,161.62,30.22,25.47
2024-04-30,2352.22,170.89,155.13,106.75,25.43,44.56
2024-05-01,2655.13,159.83,208.36,124.16,15.3,38.87
2024-05-02,1887.75,122.68,227.83,49.42,14.11,62.56
2024-05-03,1486.34,93.93,147.94,53.56,9.21,48.42
2024-05-04,2536.56,180.63,203.07,112.56,3.26,16.02
2024-05-05,1975.17,150.25,122.19,98.59,4.18,13.14
2024-05-06,2217.69,172.8,170.87,90.16,15.83,24.58
2024-05-07,2161.3,175.54,119.35,105.26,16.33,19.84
2024-05-08,2320.25,193.48,122.98,101.56,10.72,36.79
2024-05-09,2458.66,182.1,172.97,110.67,15.6,20.87
2024-05-10,2690.33,176.86,266.44,95.47,15.0,135.25
2024-05-11,2227.49,169.52,268.03,48.17,17.72,45.97
2024-05-12,2007.0,163.48,151.46,85.07,7.27,12.24
2024-05-13,2274.26,184.95,225.69,72.16,21.27,51.72
2024-05-14,2632.07,162.51,289.46,89.05,16.87,62.76
2024-05-15,2852.45,158.24,407.59,59.03,14.6,17.45
2024-05-16,1307.05,94.9,94.88,57.01,10.98,18.17
2024-05-17,1950.2,141.27,216.53,49.3,14.47,29.72
2024-05-18,2696.46,164.07,210.92,127.72,26.79,63.98
2024-05-19,2977.15,169.02,257.35,137.47,23.49,61.39
2024-05-20,2651.04,198.79,141.97,131.26,31.94,64.91
2024-05-21,2865.14,199.26,252.31,115.45,18.55,29.06
2024-05-22,2607.94,155.73,189.49,130.18,23.49,32.25
2024-05-23,1774.69,172.94,154.64,48.92,12.66,18.78
2024-05-24,2210.5,126.32,234.08,75.4,20.24,23.77
2024-05-25,2344.99,183.21,180.55,84.83,23.68,43.31
2024-05-26,2988.06,171.28,274.66,126.39,26.3,114.92
2024-05-27,1991.27,152.54,187.54,68.72,13.05,39.9
2024-05-28,1866.18,166.39,128.61,67.67,9.68,37.84
2024-05-29,2292.65,193.18,210.8,69.27,18.53,50.41
2024-05-30,2889.35,178.56,279.5,115.58,27.89,91.95
2024-05-31,3093.52,172.37,306.44,124.4,14.0,50.76
2024-06-01,2789.74,192.78,237.12,112.71,17.16,94.83
2024-06-02,1982.04,133.06,172.36,75.8,17.54,47.96
2024-06-03,2049.75,162.75,149.95,85.88,11.99,21.54
2024-06-04,2398.7,143.28,191.51,108.19,11.59,71.07
2024-06-05,2076.07,142.94,225.64,61.02,17.7,22.04
2024-06-06,2458.69,164.94,221.52,95.68,14.69,52.64
2024-06-07,1968.23,149.97,147.41,97.25,10.11,17.59
2024-06-08,4194.2,204.97,394.85,174.82,19.55,47.01
2024-06-09,1060.11,80.03,103.91,33.37,12.87,23.54
2024-06-10,2235.4,159.62,143.99,90.97,12.86,23.98
2024-06-11,2124.9,162.84,158.4,64.7,17.48,28.78
2024-06-12,1688.5,101.62,207.23,45.5,17.19,18.51
2024-06-13,2437.41,198.8,201.91,85.06,11.86,29.69
2024-06-14,3142.65,247.49,318.55,93.6,26.65,109.88
2024-06-15,2381.28,179.44,185.49,96.46,11.92,63.59
2024-06-16,2584.13,176.53,222.56,105.2,12.34,35.56
2024-06-17,2862.05,219.62,197.04,119.19,14.33,24.88
2024-06-18,2736.22,205.65,217.18,101.87,20.54,25.41
2024-06-19,2319.65,159.5,193.07,94.16,26.99,23.82
2024-06-20,2188.45,133.49,251.09,63.11,34.49,29.13
2024-06-21,2662.15,185.01,238.38,101.56,12.55,48.43
2024-06-22,3676.33,230.03,314.12,145.16,26.29,40.52
2024-06-23,2611.0,182.12,226.3,99.89,10.21,32.86
2024-06-24,2776.8,169.59,283.15,91.57,24.18,53.66
2024-06-25,2832.65,190.21,201.03,123.95,26.71,40.09
2024-06-26,2660.36,180.39,354.85,55.05,16.97,38.69
2024-06-27,2306.73,148.83,240.1,83.08,8.74,41.77
2024-06-28,2741.15,184.31,151.92,151.5,12.81,26.97
2024-06-29,2839.99,206.4,266.33,94.46,52.93,28.65
2024-06-30,2608.51,179.8,200.11,104.78,48.07,19.44
2024-07-01,2108.43,153.67,210.49,59.31,27.83,92.06
2024-07-02,2897.42,179.46,212.29,123.74,25.44,43.25
2024-07-03,2374.4,142.72,202.14,114.77,9.68,21.38
2024-07-04,2907.63,198.12,293.69,93.28,26.46,39.18
2024-07-05,2451.46,173.32,246.02,79.33,17.53,33.2
2024-07-06,2184.21,162.63,188.26,77.99,0.0,73.47
2024-07-07,2710.05,178.05,226.85,74.09,19.87,43.98
2024-07-08,2640.82,165.21,166.19,124.48,13.55,11.41
2024-07-09,2872.91,190.59,261.19,113.13,26.27,59.8
2024-07-10,2936.72,224.11,312.1,85.09,22.76,107.7
2024-07-11,2644.62,201.03,204.55,109.79,14.4,59.34
2024-07-12,3822.74,255.59,321.91,116.01,11.89,31.22
2024-07-13,3303.43,272.31,203.37,122.85,10.46,16.96
2024-07-14,2770.4,166.35,254.37,114.29,25.14,52.58
2024-07-15,2964.54,199.05,315.64,92.9,43.19,91.82
2024-07-16,2861.81,171.8,231.44,119.33,75.69,76.68
