yazio_id,name,brand,category,barcode_off,off_name_match,has_ean_yazio,kcal_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,sugar_per_100g
6fd6ac9d-2152-4255-9dce-ed4139003848,Knuspermüesli,Coop Naturaplan,cornflakes,7627535639524,Bio Knuspermüesli,True,456.0,13.0,59.0,17.0,7.5,12.0
6fd8a316-8f40-4057-9bfc-07d451e11b0e,Red  Couscous with Chicken,Felfel,dishes,,,False,202.26,6.13,20.7,10.56,0.0,0.0
6fde90cd-43cf-4dbb-b196-7f48a77e145e,"Voll Milch 3,5%",Valflora migros,milk,,,True,67.0,3.3,5.0,3.7,0.0,5.0
6fe63e7d-4f34-4492-8958-eeb749ace38b,Dinkelzopf,Migros Bio,bread,,,True,302.0,10.0,43.0,9.0,4.5,3.0
70641a6d-3413-435c-9c7e-e12976aa135f,Halbes Poulet,Chickeria,poultry,,,False,233.0,27.9,0.0,10.0,0.0,0.0
70755ccd-98d4-4b3a-bfd7-08b0651c6ce1,Thai Curry mit Reis,Thai,dishes,8445291543300,Thai Style Curry Mit Reis & Gemüse,False,116.0,2.2,16.0,6.9,1.2,4.0
70a62d7e-8137-4504-a3ab-e6c9f666590c,This is food - Fresh Berry,YFood,milk,4260556636146,This is Food Fresh Berry,True,100.0,6.0,7.4,4.6,1.7,4.6
70d5f006-c640-466c-a831-dbc511584fc2,Isoclear,ESN,drinksnonalcoholic,,,True,345.0,80.0,2.5,0.0,0.0,0.0
70f7217d-399c-4ef6-899e-fe28f79828fe,Dürüm mit Poulet,KANTINE SFV,fastfood,,,False,357.0,16.9,12.7,25.9,0.0,0.0
711cf4d6-922c-4f9e-b6e4-91b5a5540349,Mirabelle & Rhubarb,Focus Water,fruitjuices,,,True,17.0,0.0,4.0,0.0,0.0,4.0
714a653e-0de4-415b-98a9-39f9558f8d9f,Sushi box,Edogawa,fastfood,4045851002014,"Edogawa, Sushi Box Matsu, (4 nigri saumo- 4 nigris crevette-",True,144.0,5.2,24.0,2.7,0.0,5.4
714cb962-570b-4aef-89d2-05a748d7aef6,Hörnlisalat,Good,dishes,,,True,219.0,5.4,16.0,15.0,0.0,1.4
